gene_symbol,drug_name,interaction_type,ensembl_id
IL17A,IZOKIBEP,inhibitor,ENSG00000112115
TUBB4B,VINBLASTINE,,ENSG00000188229
SSTR4,VELDOREOTIDE,agonist,ENSG00000132671
RET,VANDETANIB,,ENSG00000165731
FASN,TRIIODOTHYRONINE,,ENSG00000169710
IL17A,ERYTHROMYCIN,,ENSG00000112115
PSMC3,BORTEZOMIB,,ENSG00000165916
MITF,GNF-PF-3407,,ENSG00000187098
STK11,PEMBROLIZUMAB,,ENSG00000118046
CRHR1,nortriptyline,,ENSG00000120088
TUBB4B,T-900607,negative modulator,ENSG00000188229
FBXW7,Regorafenib,,ENSG00000109670
TUBA3E,PATUPILONE,modulator,ENSG00000152086
HGF,SHO-SAIKO-TO,,ENSG00000019991
FAS,BUTYRATE,,ENSG00000026103
KCNQ1,NERISPIRDINE,blocker,ENSG00000053918
NR3C1,GW7647,,ENSG00000113580
DPYSL3,METHIMAZOLE,,ENSG00000113657
L3MBTL1,"5,6,7,8,4'-PENTAHYDROXYFLAVONE",,ENSG00000185513
RET,Ponatinib,,ENSG00000165731
IRAK4,ZIMLOVISERTIB,inhibitor,ENSG00000198001
GRIN2C,AV-101,inhibitor,ENSG00000161509
L3MBTL1,GNF-PF-2272,,ENSG00000185513
RET,sorafenib,,ENSG00000165731
KCND3,AMIFAMPRIDINE PHOSPHATE,blocker,ENSG00000171385
CIP2A,GEMCITABINE,,ENSG00000163507
CDK12,Melphalan,,ENSG00000167258
FAS,PROTEASOME INHIBITOR,,ENSG00000026103
TUBB2A,VINCRISTINE SULFATE,inhibitor,ENSG00000137267
L3MBTL1,CATECHOL,,ENSG00000185513
ATP1A4,ACETYLDIGITOXIN,inhibitor,ENSG00000132681
FBXW7,Entinostat,,ENSG00000109670
COL4A4,TRC-093,inhibitor,ENSG00000081052
IL17A,RAPAMYCIN,,ENSG00000112115
UGT1A7,ritonavir,,ENSG00000244122
PPARA,ALEGLITAZAR,agonist,ENSG00000186951
PPARA,carvedilol,,ENSG00000186951
TUBA3E,NOCODAZOLE,,ENSG00000152086
FOXA3,rosuvastatin,,ENSG00000170608
L3MBTL1,CEPHALOCHROMIN,,ENSG00000185513
NDUFC1,ME-344,inhibitor,ENSG00000109390
VCAM1,CYCLOSPORINE,,ENSG00000162692
XIAP,AEG40826,inhibitor,ENSG00000101966
CCL17,INFLIXIMAB,,ENSG00000102970
LEPR,simvastatin,,ENSG00000116678
MEN1,PIRENOXINE,,ENSG00000133895
MITF,DNDI1416969,,ENSG00000187098
ENOSF1,methotrexate,,ENSG00000132199
TUBA3E,LARGAZOLE,,ENSG00000152086
TUBA3E,4-(PHENYLCARBAMOYL)BENZYLNITRATE,,ENSG00000152086
KCNQ2,AMIFAMPRIDINE PHOSPHATE,blocker,ENSG00000075043
FBXW7,Temsirolimus,,ENSG00000109670
SELPLG,NEIHULIZUMAB,inhibitor,ENSG00000110876
SPSB2,methylphenidate,,ENSG00000111671
UGT1A7,mycophenolic acid,,ENSG00000244122
IL17A,SECUKINUMAB,inhibitor,ENSG00000112115
MITF,GNF-PF-3951,,ENSG00000187098
IMPDH2,mycophenolic acid,,ENSG00000178035
ADA,COFORMYCIN,inhibitor,ENSG00000196839
RPL37,CYCLOHEXIMIDE,inhibitor,ENSG00000145592
NRIP1,RETINOIDS,,ENSG00000180530
MAPK6,sorafenib,,ENSG00000069956
P2RY2,DENUFOSOL TETRASODIUM,agonist,ENSG00000175591
IL17F,IL-17,,ENSG00000112116
XIAP,PROTEASOME INHIBITOR,,ENSG00000101966
MITF,NSC-645827,,ENSG00000187098
RPL37,ATALUREN,modulator,ENSG00000145592
IL17A,VUNAKIZUMAB,inhibitor,ENSG00000112115
TUBB2A,CROLIBULIN,inhibitor,ENSG00000137267
IL17A,PERAKIZUMAB,inhibitor,ENSG00000112115
MITF,NIFUROXAZIDE,,ENSG00000187098
BAP1,VALPROIC ACID,,ENSG00000163930
HAS3,HYDROCORTISONE,,ENSG00000103044
HMBS,givosiran,,ENSG00000256269
ADA,ANTIMALARIALS,,ENSG00000196839
KCNQ2,NERISPIRDINE,blocker,ENSG00000075043
GRIN2C,ESKETAMINE HYDROCHLORIDE,negative modulator,ENSG00000161509
RHOB,TRIMETHYL-[3-(TETRADECANE-1-SULFONYLAMINO)-PROPYL]-AMMONIUM IODIDE,,ENSG00000143878
FAS,VITAMIN K,,ENSG00000026103
STK11,MK2206,,ENSG00000118046
HGF,THALIDOMIDE,,ENSG00000019991
KCNQ1,DOLASETRON,,ENSG00000053918
MTHFR,prednisolone,,ENSG00000177000
CRHR1,fluoxetine,,ENSG00000120088
TUBB2A,TISOTUMAB VEDOTIN,inhibitor,ENSG00000137267
UGT1A7,acetaminophen,,ENSG00000244122
TUBB2A,VINBLASTINE,,ENSG00000137267
MEN1,CHLORHEXIDINE HYDROCHLORIDE,,ENSG00000133895
STK11,Sirolimus,,ENSG00000118046
PLD2,TAMOXIFEN,,ENSG00000129219
FGF6,BUPIVACAINE,,ENSG00000111241
KCNQ1,vildagliptin,,ENSG00000053918
MTHFR,levodopa,,ENSG00000177000
APLNR,APELIN,agonist,ENSG00000134817
MEN1,NSC-317605,,ENSG00000133895
STK11,Vistusertib,,ENSG00000118046
CD86,BELATACEPT,inhibitor,ENSG00000114013
MTHFR,ZINC SULFATE,,ENSG00000177000
TCL1A,estradiol,,ENSG00000100721
IL23A,GUSELKUMAB,inhibitor,ENSG00000110944
KCNQ2,EZOGABINE,,ENSG00000075043
BAP1,PANOBINOSTAT,,ENSG00000163930
MTHFR,carboplatin,,ENSG00000177000
MAP2K4,AZD6244,inhibitor,ENSG00000065559
STK11,Avelumab,,ENSG00000118046
L3MBTL1,NSC-175743,,ENSG00000185513
XIAP,LCL161,inhibitor,ENSG00000101966
FIP1L1,meperidine,,ENSG00000145216
ADA,METHOTREXATE,,ENSG00000196839
CRHR1,CRINECERFONT,inhibitor,ENSG00000120088
CDK12,Veliparib,,ENSG00000167258
IRAK4,GNF-PF-3023,,ENSG00000198001
MEN1,NITROBLUE TETRAZOLIUM,,ENSG00000133895
PSMC3,CARFILZOMIB,other/unknown,ENSG00000165916
MAP2K4,GDC-0973,inhibitor,ENSG00000065559
NQO1,etoposide,,ENSG00000181019
POU2F2,LINAGLIPTIN,,ENSG00000028277
LEPR,valproic acid,,ENSG00000116678
NRIP1,RETINOIC ACID,,ENSG00000180530
