ensembl_id,disease_efo_id,association_score
ENSG00000181092,MONDO_0000358,0.002220149376031967
ENSG00000196839,EFO_0006890,0.009615508061471784
ENSG00000211459,EFO_0004705,0.01406094604820246
ENSG00000186340,EFO_0004212,0.004810323648069262
ENSG00000171094,Orphanet_52901,0.04556486569409607
ENSG00000112115,EFO_1001461,0.018717249739479823
ENSG00000177272,EFO_0000564,0.00811999077345025
ENSG00000077782,MONDO_0010121,0.04814763946821327
ENSG00000112115,MONDO_0002108,0.02552731918105994
ENSG00000070915,EFO_0001376,0.003700248960053279
ENSG00000103044,EFO_0008528,0.009620647296138525
ENSG00000112115,MONDO_0008523,0.0051803485440745905
ENSG00000165731,MONDO_0010891,0.031429914666692545
ENSG00000159899,MONDO_0020310,0.38058088401081314
ENSG00000160584,EFO_0021901,0.23601889727877107
ENSG00000187098,EFO_0005140,0.056129224359147786
ENSG00000084453,GO_0009410,0.29850889492607774
ENSG00000103044,EFO_0009709,0.004070273856058606
ENSG00000133895,MONDO_0004483,0.002220149376031967
ENSG00000026103,EFO_0003818,0.029832503596951433
ENSG00000134640,EFO_0022148,0.3348750566466102
ENSG00000029559,EFO_0000771,0.00849001566945558
ENSG00000089163,EFO_0006335,0.02532383311684927
ENSG00000186951,EFO_0000537,0.09150450741901327
ENSG00000101966,MONDO_0008523,0.008140547712117212
ENSG00000017427,MONDO_0014248,0.007400497920106558
ENSG00000017427,EFO_0003767,0.036520395323857736
ENSG00000117984,EFO_0000400,0.04895744640076723
ENSG00000100387,MONDO_0011142,0.07400497920106557
ENSG00000133895,MONDO_0008170,0.09113855602890676
ENSG00000206337,HP_0040187,0.01677446195224153
ENSG00000118046,EFO_1002000,0.005550373440079919
ENSG00000133895,MONDO_0004992,0.06530129475243693
ENSG00000114013,MONDO_0021201,0.004070273856058606
ENSG00000103044,OBA_1000840,0.12447143548011139
ENSG00000161509,EFO_0003756,0.28879415286282495
ENSG00000140675,MONDO_0010356,0.03424950437425315
ENSG00000133895,MONDO_0008280,0.05900175447671622
ENSG00000177000,HP_0001270,0.002220149376031967
ENSG00000132671,MONDO_0005271,0.00850395981028561
ENSG00000181019,MONDO_0021681,0.004070273856058606
ENSG00000081052,EFO_0004194,0.06669822042886821
ENSG00000140675,EFO_0004142,0.008140547712117212
ENSG00000071575,EFO_0000401,0.002390581812211497
ENSG00000171094,EFO_0000335,0.2775186720039959
ENSG00000113580,HP_0002015,0.2605848937770853
ENSG00000165731,MONDO_0010720,0.03581100943539563
