subject,predicate,object,subject_category,object_category,knowledge_source,source_relationship
DRUG_NAME:2-PHENYLPHENOL,biolink:interacts_with,NCBIGene:216,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GENISTEIN,biolink:interacts_with,NCBIGene:1647,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CARMINE,biolink:interacts_with,NCBIGene:216,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CHLORANIL,biolink:interacts_with,NCBIGene:216,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DEXAMETHASONE ACETATE,biolink:positively_regulates,NCBIGene:2908,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:Derazantinib,biolink:interacts_with,NCBIGene:2260,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:Ixazomib,biolink:interacts_with,NCBIGene:238,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BIVATUZUMAB MERTANSINE,biolink:negatively_regulates,NCBIGene:7280,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CID 1540545,biolink:interacts_with,NCBIGene:216,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NERISPIRDINE,biolink:negatively_regulates,NCBIGene:3752,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:HESPERADIN,biolink:negatively_regulates,NCBIGene:238,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:LOXO-292,biolink:interacts_with,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CABAZITAXEL,biolink:negatively_regulates,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:TACROLIMUS,biolink:interacts_with,NCBIGene:6361,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AMIODARONE,biolink:interacts_with,NCBIGene:6713,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ASCORBIC ACID,biolink:interacts_with,NCBIGene:4025,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ASUNERCEPT,biolink:physically_interacts_with,NCBIGene:356,biolink:ChemicalEntity,biolink:Gene,DGIdb,binder
DRUG_NAME:DOVITINIB,biolink:interacts_with,NCBIGene:2260,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BETAMETHASONE,biolink:positively_regulates,NCBIGene:2908,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:FIIN-1,biolink:interacts_with,NCBIGene:2260,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NSC-751382,biolink:interacts_with,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:tacrolimus,biolink:interacts_with,NCBIGene:3784,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VERUBULIN,biolink:negatively_regulates,NCBIGene:7280,biolink:ChemicalEntity,biolink:Gene,DGIdb,negative modulator
DRUG_NAME:RG-7841,biolink:negatively_regulates,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:BUTYRATE,biolink:interacts_with,NCBIGene:292,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CABAZITAXEL,biolink:negatively_regulates,NCBIGene:7280,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:FLUOROURACIL,biolink:interacts_with,NCBIGene:4524,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AMIFAMPRIDINE PHOSPHATE,biolink:negatively_regulates,NCBIGene:3784,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:GNF-PF-4867,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TAE-684,biolink:interacts_with,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:Vandetanib,biolink:interacts_with,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:antidepressants,biolink:interacts_with,NCBIGene:1394,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DAGLUTRIL,biolink:negatively_regulates,NCBIGene:4311,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:SINENSETIN,biolink:interacts_with,NCBIGene:4221,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DELUCEMINE,biolink:negatively_regulates,NCBIGene:2905,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
