subject,predicate,object,subject_category,object_category,knowledge_source,source_relationship
DRUG_NAME:LUTETIUM DOTATATE LU-177,biolink:physically_interacts_with,NCBIGene:6754,biolink:ChemicalEntity,biolink:Gene,DGIdb,binder
DRUG_NAME:USTEKINUMAB,biolink:negatively_regulates,NCBIGene:51561,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:cisplatin,biolink:interacts_with,NCBIGene:4807,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PROTEASOME INHIBITOR,biolink:interacts_with,NCBIGene:942,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:THALIDOMIDE,biolink:negatively_regulates,NCBIGene:9978,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:ethanol,biolink:interacts_with,NCBIGene:51075,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ANTIVIRAL,biolink:interacts_with,NCBIGene:55556,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TRAMETINIB,biolink:negatively_regulates,NCBIGene:6416,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:BIMEKIZUMAB,biolink:negatively_regulates,NCBIGene:112744,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:ADRENOCORTICOTROPIC HORMONE,biolink:interacts_with,NCBIGene:7058,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DIGOXIN,biolink:negatively_regulates,NCBIGene:480,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:unspecified PD-1 antibody,biolink:interacts_with,NCBIGene:51755,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PENTOSAN POLYSULFATE,biolink:interacts_with,NCBIGene:1075,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:IMMUNOSUPPRESSIVE,biolink:interacts_with,NCBIGene:6361,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:nefazodone,biolink:interacts_with,NCBIGene:2289,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:coumarin,biolink:interacts_with,NCBIGene:1553,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:OCTHILINONE,biolink:interacts_with,NCBIGene:11343,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ERTUGLIFLOZIN,biolink:negatively_regulates,NCBIGene:6524,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:NSC-270718,biolink:interacts_with,NCBIGene:111,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:escitalopram,biolink:interacts_with,NCBIGene:2289,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ILEPATRIL,biolink:negatively_regulates,NCBIGene:4311,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:3-HYDROXYCOUMARIN,biolink:interacts_with,NCBIGene:1610,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:setmelanotide,biolink:interacts_with,NCBIGene:3953,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
"DRUG_NAME:5-CARBOXYFURO[3,2-B]PYRROLE",biolink:interacts_with,NCBIGene:1610,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MAVACAMTEN,biolink:negatively_regulates,NCBIGene:58498,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:AMIFAMPRIDINE,biolink:negatively_regulates,NCBIGene:3756,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:NERVE GROWTH FACTOR,biolink:interacts_with,NCBIGene:3732,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VARLILUMAB,biolink:positively_regulates,NCBIGene:939,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:TEDISAMIL,biolink:negatively_regulates,NCBIGene:3785,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
"DRUG_NAME:Ace Inhibitors, Plain",biolink:interacts_with,NCBIGene:4311,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:imatinib,biolink:interacts_with,NCBIGene:81608,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ELCUBRAGISTAT,biolink:negatively_regulates,NCBIGene:11343,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:BENZETHONIUM CHLORIDE,biolink:interacts_with,NCBIGene:84634,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CARBACHOL,biolink:interacts_with,NCBIGene:5029,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:isepamicin,biolink:interacts_with,NCBIGene:4549,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:radiotherapy,biolink:interacts_with,NCBIGene:1000,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:oxaliplatin,biolink:interacts_with,NCBIGene:117583,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:methotrexate,biolink:interacts_with,NCBIGene:2259,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:THIOGUANINE,biolink:negatively_regulates,NCBIGene:3615,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:fluorouracil,biolink:interacts_with,NCBIGene:117583,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:N-METHYLFORMAMIDE,biolink:interacts_with,NCBIGene:2739,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:THIOPHENE-3-CARBOXYLIC ACID,biolink:interacts_with,NCBIGene:1610,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ustekinumab,biolink:interacts_with,NCBIGene:51561,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PRAMLINTIDE ACETATE,biolink:positively_regulates,NCBIGene:10266,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:TRIPARANOL,biolink:negatively_regulates,NCBIGene:1718,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:SOTAGLIFLOZIN,biolink:negatively_regulates,NCBIGene:6524,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:PMSG,biolink:interacts_with,NCBIGene:1191,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:celecoxib,biolink:interacts_with,NCBIGene:3785,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TILDRAKIZUMAB,biolink:negatively_regulates,NCBIGene:51561,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
"DRUG_NAME:1,4-BIS(MALIMIDO)XYLENE",biolink:interacts_with,NCBIGene:11343,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TNF-ALPHA,biolink:interacts_with,NCBIGene:3381,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ANTIHISTAMINE,biolink:interacts_with,NCBIGene:942,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:exemestane,biolink:interacts_with,NCBIGene:130940,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MYCOPHENOLATE SODIUM,biolink:negatively_regulates,NCBIGene:3615,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:l-methionine,biolink:interacts_with,NCBIGene:875,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ROXITHROMYCIN,biolink:interacts_with,NCBIGene:942,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PEPINEMAB,biolink:negatively_regulates,NCBIGene:10507,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:ISTAROXIME,biolink:negatively_regulates,NCBIGene:480,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:nadolol,biolink:interacts_with,NCBIGene:6579,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PHORBOL MYRISTATE ACETATE,biolink:interacts_with,NCBIGene:7412,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:hmg coa reductase inhibitors,biolink:interacts_with,NCBIGene:23387,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:YM-543,biolink:negatively_regulates,NCBIGene:6524,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:WORTMANNIN,biolink:interacts_with,NCBIGene:1647,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:nevirapine,biolink:interacts_with,NCBIGene:10866,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:RETINOIC ACID,biolink:interacts_with,NCBIGene:64061,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:LANATOSIDE C,biolink:negatively_regulates,NCBIGene:480,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:DIGITOXIN,biolink:negatively_regulates,NCBIGene:480,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:VERNAKALANT HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:3752,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:VE-821,biolink:interacts_with,NCBIGene:546,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CEP-1347,biolink:negatively_regulates,NCBIGene:7786,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:capecitabine,biolink:interacts_with,NCBIGene:1911,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:KINASE INHIBITOR,biolink:interacts_with,NCBIGene:942,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ANGIOTENSIN CONVERTING ENZYME INHIBITOR,biolink:interacts_with,NCBIGene:356,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BROMODEOXYURIDINE,biolink:interacts_with,NCBIGene:64061,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:hydrochlorothiazide,biolink:interacts_with,NCBIGene:81624,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AGOMELATINE,biolink:positively_regulates,NCBIGene:4544,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:SPIRONOLACTONE,biolink:interacts_with,NCBIGene:9370,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:OCRIPLASMIN,biolink:affects,NCBIGene:1286,biolink:ChemicalEntity,biolink:Gene,DGIdb,cleavage
DRUG_NAME:FUNGIZONE,biolink:interacts_with,NCBIGene:1638,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:STREPTOZOTOCIN,biolink:interacts_with,NCBIGene:1509,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DAIDZEIN,biolink:interacts_with,NCBIGene:3381,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:EZOGABINE,biolink:positively_regulates,NCBIGene:3785,biolink:ChemicalEntity,biolink:Gene,DGIdb,potentiator
DRUG_NAME:methionine,biolink:interacts_with,NCBIGene:875,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AG-22,biolink:interacts_with,NCBIGene:2358,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DALFAMPRIDINE,biolink:negatively_regulates,NCBIGene:3738,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:bupropion,biolink:interacts_with,NCBIGene:2289,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:letrozole,biolink:interacts_with,NCBIGene:130940,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:URB597,biolink:interacts_with,NCBIGene:11343,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:methylphenidate,biolink:interacts_with,NCBIGene:10840,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:METRELEPTIN,biolink:positively_regulates,NCBIGene:3953,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:mepolizumab,biolink:interacts_with,NCBIGene:81608,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:OCTREOTIDE ACETATE,biolink:positively_regulates,NCBIGene:6754,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:GUANIDINE HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:3756,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:CYCLOHEXIMIDE,biolink:negatively_regulates,NCBIGene:6138,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:lumasiran,biolink:interacts_with,NCBIGene:189,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BORTEZOMIB,biolink:interacts_with,NCBIGene:5715,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:glucocorticoids,biolink:interacts_with,NCBIGene:1000,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:RETINOIC ACID,biolink:interacts_with,NCBIGene:3231,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PIROMELATINE,biolink:positively_regulates,NCBIGene:4544,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:TEDISAMIL,biolink:negatively_regulates,NCBIGene:3738,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:MTX,biolink:interacts_with,NCBIGene:6283,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MELATONIN,biolink:positively_regulates,NCBIGene:4544,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:IL-3,biolink:interacts_with,NCBIGene:241,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BRENSOCATIB,biolink:negatively_regulates,NCBIGene:1075,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:HEXACHLOROPHENE,biolink:interacts_with,NCBIGene:3002,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CARFILZOMIB,biolink:negatively_regulates,NCBIGene:5702,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:IBERDOMIDE,biolink:regulates,NCBIGene:1642,biolink:ChemicalEntity,biolink:Gene,DGIdb,modulator
DRUG_NAME:hygromycin b,biolink:interacts_with,NCBIGene:4549,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:erlotinib,biolink:interacts_with,NCBIGene:29128,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:doxorubicin,biolink:interacts_with,NCBIGene:356,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:serotonin,biolink:interacts_with,NCBIGene:10098,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ZOLEDRONIC ACID,biolink:interacts_with,NCBIGene:3381,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NERISPIRDINE,biolink:negatively_regulates,NCBIGene:3738,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:lithium,biolink:interacts_with,NCBIGene:2289,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:OPRELVEKIN,biolink:positively_regulates,NCBIGene:3590,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:SAPONARIN,biolink:interacts_with,NCBIGene:5571,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MT-3724,biolink:negatively_regulates,NCBIGene:6138,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:TEDISAMIL,biolink:negatively_regulates,NCBIGene:3756,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:TUMOR NECROSIS FACTOR-BETA,biolink:interacts_with,NCBIGene:356,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:methotrexate,biolink:interacts_with,NCBIGene:1000,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:FLUOROURACIL,biolink:interacts_with,NCBIGene:546,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:SB-290157,biolink:interacts_with,NCBIGene:719,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AMIFAMPRIDINE,biolink:negatively_regulates,NCBIGene:131096,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:ALUM,biolink:interacts_with,NCBIGene:112744,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:carboplatin,biolink:interacts_with,NCBIGene:10866,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:dihydrostreptomycin,biolink:interacts_with,NCBIGene:4549,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NERISPIRDINE,biolink:negatively_regulates,NCBIGene:3756,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:POMALIDOMIDE,biolink:negatively_regulates,NCBIGene:9978,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:AMIFAMPRIDINE,biolink:negatively_regulates,NCBIGene:3752,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:Givosiran,biolink:interacts_with,NCBIGene:3145,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TEMOZOLOMIDE,biolink:interacts_with,NCBIGene:546,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:H3B-8800,biolink:interacts_with,NCBIGene:6427,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:metformin,biolink:interacts_with,NCBIGene:5571,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DANICAMTIV,biolink:positively_regulates,NCBIGene:58498,biolink:ChemicalEntity,biolink:Gene,DGIdb,activator
DRUG_NAME:FENOFIBRATE,biolink:interacts_with,NCBIGene:9370,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:SOMATOSTATIN,biolink:positively_regulates,NCBIGene:6754,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:cladribine,biolink:interacts_with,NCBIGene:84618,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:interferon beta-1b,biolink:interacts_with,NCBIGene:26130,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AG-26,biolink:interacts_with,NCBIGene:2358,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:POMALIDOMIDE,biolink:negatively_regulates,NCBIGene:1642,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:betaine,biolink:interacts_with,NCBIGene:875,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:clozapine,biolink:interacts_with,NCBIGene:2289,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DEXTRAN SULFATE SODIUM,biolink:interacts_with,NCBIGene:4025,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CARPERITIDE,biolink:positively_regulates,NCBIGene:4882,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:OMECAMTIV MECARBIL,biolink:positively_regulates,NCBIGene:58498,biolink:ChemicalEntity,biolink:Gene,DGIdb,activator
DRUG_NAME:plazomicin,biolink:interacts_with,NCBIGene:4549,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:corticosteroids,biolink:interacts_with,NCBIGene:2289,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:APITOLISIB,biolink:interacts_with,NCBIGene:8314,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:SELUMETINIB,biolink:negatively_regulates,NCBIGene:6416,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:tramadol,biolink:interacts_with,NCBIGene:348980,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DIETHYLSTILBESTROL,biolink:interacts_with,NCBIGene:4025,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GUANIDINE HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:3738,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:hydroxyurea,biolink:interacts_with,NCBIGene:9314,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:afatinib,biolink:interacts_with,NCBIGene:29128,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TGFBETA1,biolink:interacts_with,NCBIGene:3549,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GRANULOCYTE COLONY-STIMULATING FACTOR,biolink:interacts_with,NCBIGene:112744,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PMA,biolink:interacts_with,NCBIGene:7412,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:fluorouracil,biolink:interacts_with,NCBIGene:9978,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:l-methionine,biolink:interacts_with,NCBIGene:10840,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
"DRUG_NAME:Antivirals for treatment of HIV infections, combinations",biolink:interacts_with,NCBIGene:23387,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:zidovudine,biolink:interacts_with,NCBIGene:4830,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:QUERCETIN,biolink:interacts_with,NCBIGene:2551,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:METHOTREXATE,biolink:interacts_with,NCBIGene:6283,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:6-MERCAPTOPURINE,biolink:interacts_with,NCBIGene:7412,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:micronomicin,biolink:interacts_with,NCBIGene:4549,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:OGX-011,biolink:negatively_regulates,NCBIGene:1191,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:lutetium (177Lu) oxodotreotide,biolink:interacts_with,NCBIGene:6754,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DIQUAFOSOL TETRASODIUM,biolink:positively_regulates,NCBIGene:5029,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:TRICHOSTATIN A,biolink:interacts_with,NCBIGene:8314,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:salbutamol,biolink:interacts_with,NCBIGene:9575,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MIBAVADEMAB,biolink:positively_regulates,NCBIGene:3953,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,biolink:affects,NCBIGene:1286,biolink:ChemicalEntity,biolink:Gene,DGIdb,cleavage
DRUG_NAME:ELX-02,biolink:regulates,NCBIGene:6138,biolink:ChemicalEntity,biolink:Gene,DGIdb,modulator
DRUG_NAME:2-(4-METHOXYBENZAMIDO)BENZOIC ACID,biolink:interacts_with,NCBIGene:2739,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:celiprolol,biolink:interacts_with,NCBIGene:6579,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CISPLATIN,biolink:interacts_with,NCBIGene:1647,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:gemcitabine,biolink:interacts_with,NCBIGene:10866,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BENZOIC ACID,biolink:interacts_with,NCBIGene:1610,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BAY869766,biolink:negatively_regulates,NCBIGene:6416,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:anthracyclines and related substances,biolink:interacts_with,NCBIGene:3038,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:methadone,biolink:interacts_with,NCBIGene:1000,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:clopidogrel,biolink:interacts_with,NCBIGene:1013,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GUANIDINE HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:3752,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:TEDISAMIL,biolink:negatively_regulates,NCBIGene:131096,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:VELIFLAPON,biolink:negatively_regulates,NCBIGene:241,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:RAMELTEON,biolink:positively_regulates,NCBIGene:4544,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:AVACOPAN,biolink:negatively_regulates,NCBIGene:728,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:ELX-02,biolink:regulates,NCBIGene:6167,biolink:ChemicalEntity,biolink:Gene,DGIdb,modulator
DRUG_NAME:GLPG-0974,biolink:negatively_regulates,NCBIGene:2867,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:nedosiran,biolink:interacts_with,NCBIGene:189,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PROGESTERONE,biolink:interacts_with,NCBIGene:1075,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:OLAPARIB,biolink:interacts_with,NCBIGene:546,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
NCBIGene:9370,biolink:gene_associated_with_condition,MONDO:0000358,biolink:Gene,biolink:Disease,OpenTargets,associated_with
