mondo_id,previous_name,mondo_label,matched
MONDO:0012209,MONDO:0012209,branchiogenic deafness syndrome,True
MONDO:0012450,MONDO:0012450,spinocerebellar ataxia type 28,True
MONDO:0013284,MONDO:0013284,"immunodeficiency, common variable, 4",True
MONDO:0013427,MONDO:0013427,immunodeficiency 31B,True
MONDO:0009619,MONDO:0009619,microcephaly-micromelia syndrome,True
MONDO:0024280,MONDO:0024280,polyarticular arthritis,True
MONDO:0011661,MONDO:0011661,inflammatory bowel disease 5,True
MONDO:0001999,MONDO:0001999,idiopathic pulmonary arterial hypertension,True
MONDO:0014439,MONDO:0014439,Bardet-Biedl syndrome 11,True
MONDO:0007540,MONDO:0007540,multiple endocrine neoplasia type 1,True
MONDO:0021512,MONDO:0021512,benign neoplasm of thymus,True
MONDO:0002331,MONDO:0002331,nephrosis,True
MONDO:0011414,MONDO:0011414,Peters anomaly,True
MONDO:0030531,MONDO:0030531,spermatogenic failure 65,True
MONDO:0018604,MONDO:0018604,familial colorectal cancer type X,True
MONDO:0009426,MONDO:0009426,hypoparathyroidism-retardation-dysmorphism syndrome,True
MONDO:0018906,MONDO:0018906,follicular lymphoma,True
MONDO:0018088,MONDO:0018088,familial Mediterranean fever,True
MONDO:0008231,MONDO:0008231,Peyronie disease,True
MONDO:0100114,MONDO:0100114,dry age related macular degeneration,True
MONDO:0016060,MONDO:0016060,laryngotracheoesophageal cleft,True
MONDO:0100135,MONDO:0100135,Dravet syndrome,True
MONDO:0011804,MONDO:0011804,autoimmune lymphoproliferative syndrome type 2B,True
MONDO:0013615,MONDO:0013615,craniosynostosis and dental anomalies,True
MONDO:0017317,MONDO:0017317,phakomatosis pigmentokeratotica,True
MONDO:0004985,MONDO:0004985,bipolar disorder,True
MONDO:0009486,MONDO:0009486,autosomal recessive Kenny-Caffey syndrome,True
MONDO:0002026,MONDO:0002026,candidiasis,True
MONDO:0014334,MONDO:0014334,severe combined immunodeficiency due to LCK deficiency,True
MONDO:0044348,MONDO:0044348,hemoglobinopathy,True
MONDO:0007389,MONDO:0007389,spondylocostal dysostosis 5,True
MONDO:0003758,MONDO:0003758,childhood testicular germ cell tumor,True
MONDO:0014789,MONDO:0014789,CCDC115-CDG,True
MONDO:0016381,MONDO:0016381,hypertrichosis lanuginosa congenita,True
MONDO:0016294,MONDO:0016294,Hirschsprung disease-type D brachydactyly syndrome,True
MONDO:0100281,MONDO:0100281,"macroglobulinemia, Waldenstrom, 1",True
MONDO:0007376,MONDO:0007376,fleck corneal dystrophy,True
MONDO:0008618,MONDO:0008618,"mesomelic dwarfism, Reinhardt-Pfeiffer type",True
MONDO:0024540,MONDO:0024540,Jervell and Lange-Nielsen syndrome 1,True
MONDO:0018945,MONDO:0018945,XK-related neurodegenerative disease,True
MONDO:0011569,MONDO:0011569,Charcot-Marie-Tooth disease type 2B1,True
MONDO:0017349,MONDO:0017349,myopericytoma,True
MONDO:0016558,MONDO:0016558,familial congenital mirror movements,True
MONDO:0100319,MONDO:0100319,COVID-19–associated multisystem inflammatory syndrome in adults,True
MONDO:0009872,MONDO:0009872,Bjornstad syndrome,True
MONDO:0001134,MONDO:0001134,essential hypertension,True
MONDO:0014172,MONDO:0014172,spermatogenic failure 12,True
MONDO:0008982,MONDO:0008982,central areolar choroidal dystrophy,True
MONDO:0033554,MONDO:0033554,immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia,True
MONDO:0014137,MONDO:0014137,"precocious puberty, central, 2",True
MONDO:0009655,MONDO:0009655,mucopolysaccharidosis type 3A,True
MONDO:0008903,MONDO:0008903,lung cancer,True
MONDO:0008521,MONDO:0008521,tarsal-carpal coalition syndrome,True
MONDO:0019736,MONDO:0019736,dense deposit disease,True
MONDO:0007340,MONDO:0007340,cleidocranial dysplasia 1,True
MONDO:0021355,MONDO:0021355,neoplasm of esophagus,True
MONDO:0009901,MONDO:0009901,Bartsocas-Papas syndrome 1,True
MONDO:0007888,MONDO:0007888,hereditary leiomyomatosis and renal cell cancer,True
MONDO:0015300,MONDO:0015300,cataract - microcornea syndrome,True
MONDO:0800195,MONDO:0800195,achalasia-alacrima syndrome,True
MONDO:0016683,MONDO:0016683,gliomatosis cerebri,True
MONDO:0020121,MONDO:0020121,muscular dystrophy,True
MONDO:0016525,MONDO:0016525,familial hyperaldosteronism,True
MONDO:0007987,MONDO:0007987,Kniest dysplasia,True
MONDO:0019202,MONDO:0019202,myxofibrosarcoma,True
MONDO:0002907,MONDO:0002907,intracranial thrombosis,True
MONDO:0017400,MONDO:0017400,hypoplastic pancreas-intestinal atresia-hypoplastic gallbalder syndrome,True
MONDO:0014403,MONDO:0014403,short stature due to GHSR deficiency,True
MONDO:0007573,MONDO:0007573,"erythroleukemia, familial, susceptibility to",True
MONDO:0017979,MONDO:0017979,autoimmune lymphoproliferative syndrome,True
MONDO:0007635,MONDO:0007635,Frasier syndrome,True
MONDO:0018075,MONDO:0018075,neural tube defect,True
MONDO:0004557,MONDO:0004557,congenital fibrosarcoma,True
MONDO:0002025,MONDO:0002025,psychiatric disorder,True
MONDO:0970943,MONDO:0970943,"spermatogenic failure, X-linked, 8",True
MONDO:0008840,MONDO:0008840,ataxia telangiectasia,True
MONDO:0008073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,True
MONDO:0005277,MONDO:0005277,migraine disorder,True
MONDO:0014550,MONDO:0014550,long QT syndrome 15,True
MONDO:0005351,MONDO:0005351,anorexia nervosa,True
MONDO:0002120,MONDO:0002120,neuroendocrine carcinoma,True
MONDO:0001149,MONDO:0001149,microcephaly,True
MONDO:0021117,MONDO:0021117,lung neoplasm,True
MONDO:0009239,MONDO:0009239,hypogonadotropic hypogonadism 24 without anosmia,True
MONDO:0018531,MONDO:0018531,carcinoma of liver and intrahepatic biliary tract,True
MONDO:0019145,MONDO:0019145,hereditary thrombophilia due to congenital protein C deficiency,True
MONDO:0008380,MONDO:0008380,retinoblastoma,True
MONDO:0007142,MONDO:0007142,Townes-Brocks syndrome,True
MONDO:0021086,MONDO:0021086,gingival neoplasm,True
MONDO:0014491,MONDO:0014491,immunodeficiency 37,True
MONDO:0016168,MONDO:0016168,cryopyrin-associated periodic syndrome,True
MONDO:0013960,MONDO:0013960,sinoatrial node dysfunction and deafness,True
MONDO:0044925,MONDO:0044925,oral cavity carcinoma,True
MONDO:0002462,MONDO:0002462,glomerulonephritis,True
MONDO:0018079,MONDO:0018079,thymic epithelial neoplasm,True
MONDO:0001657,MONDO:0001657,brain cancer,True
MONDO:0044635,MONDO:0044635,DIAPH1-related sensorineural hearing loss-thrombocytopenia syndrome,True
MONDO:0100316,MONDO:0100316,long QT syndrome 1,True
MONDO:0007915,MONDO:0007915,systemic lupus erythematosus,True
MONDO:0100096,MONDO:0100096,COVID-19,True
MONDO:0013561,MONDO:0013561,"chondrodysplasia with joint dislocations, gPAPP type",True
MONDO:0007817,MONDO:0007817,"IgE responsiveness, atopic",True
MONDO:0014472,MONDO:0014472,periodic fever-infantile enterocolitis-autoinflammatory syndrome,True
MONDO:0004979,MONDO:0004979,asthma,True
MONDO:0011904,MONDO:0011904,"seizures, benign familial infantile, 3",True
MONDO:0002630,MONDO:0002630,small cell osteogenic sarcoma,True
MONDO:0017904,MONDO:0017904,steroid dehydrogenase deficiency-dental anomalies syndrome,True
MONDO:0005053,MONDO:0005053,ischemic disease,True
MONDO:0008021,MONDO:0008021,Cowden syndrome 1,True
MONDO:0009588,MONDO:0009588,Langer mesomelic dysplasia,True
MONDO:0007576,MONDO:0007576,esophageal cancer,True
MONDO:0002529,MONDO:0002529,skin squamous cell carcinoma,True
MONDO:0009597,MONDO:0009597,"metaphyseal chondrodysplasia, Spahr type",True
MONDO:0018653,MONDO:0018653,Polymerase proofreading-related adenomatous polyposis,True
MONDO:0018479,MONDO:0018479,congenital adrenal hyperplasia,True
MONDO:0016643,MONDO:0016643,frontonasal dysplasia,True
MONDO:0010200,MONDO:0010200,Wilson disease,True
MONDO:0030602,MONDO:0030602,Klebsiella pneumonia,True
MONDO:0018948,MONDO:0018948,multiminicore myopathy,True
MONDO:0009903,MONDO:0009903,postaxial acrofacial dysostosis,True
MONDO:0008173,MONDO:0008173,pachyonychia congenita 1,True
MONDO:0041052,MONDO:0041052,postherpetic neuralgia,True
MONDO:0010011,MONDO:0010011,schizencephaly,True
MONDO:0002367,MONDO:0002367,kidney cancer,True
MONDO:0032805,MONDO:0032805,"hypopigmentation, organomegaly, and delayed myelination and development",True
MONDO:0007079,MONDO:0007079,alcohol dependence,True
MONDO:0013826,MONDO:0013826,autosomal recessive nonsyndromic hearing loss 86,True
MONDO:0020593,MONDO:0020593,trichoblastoma,True
MONDO:0001336,MONDO:0001336,familial hyperlipidemia,True
MONDO:0001751,MONDO:0001751,cholestasis,True
MONDO:0013518,MONDO:0013518,"pituitary hormone deficiency, combined, 6",True
MONDO:0030938,MONDO:0030938,spermatogenic failure 52,True
MONDO:0009805,MONDO:0009805,osteogenesis imperfecta type 9,True
MONDO:0019438,MONDO:0019438,AL amyloidosis,True
