id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
EFO:0004725,EFO,EFO:0004725,metabolite measurement,efo,False,True,biolink:Disease,
EFO:0020921,EFO,EFO:0020921,hemorrhagic stroke,efo,False,True,biolink:Disease,
EFO:0000719,EFO,EFO:0000719,temporal measurement,efo,False,True,biolink:Disease,
EFO:0022258,EFO,EFO:0022258,cholesteryl esters to total lipids in very large VLDL percentage,efo,False,True,biolink:Disease,
EFO:0011011,EFO,EFO:0011011,sitting height measurement,efo,False,True,biolink:Disease,
HP:0005268,HP,HP:0005268,Miscarriage,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0007985,EFO,EFO:0007985,platelet crit,efo,False,True,biolink:Disease,
EFO:0004309,EFO,EFO:0004309,platelet count,efo,False,True,biolink:Disease,
OBA:2042371,OBA,OBA:2042371,level of MIT domain-containing protein 1 in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0001395,HP,HP:0001395,Hepatic fibrosis,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0000539,HP,HP:0000539,Abnormality of refraction,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0022322,EFO,EFO:0022322,triglycerides in medium LDL measurement,efo,False,True,biolink:Disease,
EFO:0022265,EFO,EFO:0022265,free cholesterol in large VLDL measurement,efo,False,True,biolink:Disease,
HP:0000112,HP,HP:0000112,Nephropathy,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0002202,HP,HP:0002202,Pleural effusion,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0006807,EFO,EFO:0006807,linoleic acid measurement,efo,False,True,biolink:Disease,
EFO:0920022,EFO,EFO:0920022,cholesteryl esters in HDL measurement,efo,False,True,biolink:Disease,
HP:0002960,HP,HP:0002960,Autoimmunity,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0008569,EFO,EFO:0008569,Thiamine deficiency,efo,False,True,biolink:Disease,
EFO:0009188,EFO,EFO:0009188,Red cell distribution width,efo,False,True,biolink:Disease,
EFO:1001955,EFO,EFO:1001955,erythroleukemia,efo,False,True,biolink:Disease,
