source_id,mondo_id,prefix,normalized,status
EFO:0003811,MONDO:0019454,EFO,True,mapped
EFO:1000391,MONDO:0006314,EFO,True,mapped
EFO:0009003,MONDO:0001889,EFO,True,mapped
MONDO:0011717,MONDO:0011717,MONDO,False,already_mondo
MONDO:0004737,MONDO:0004737,MONDO,False,already_mondo
MONDO:0015540,MONDO:0015540,MONDO,False,already_mondo
Orphanet:100,MONDO:0008840,Orphanet,True,mapped
EFO:0006835,,EFO,False,unmapped
MONDO:0019472,MONDO:0019472,MONDO,False,already_mondo
EFO:0022154,,EFO,False,unmapped
EFO:0004838,,EFO,False,unmapped
MONDO:0002041,MONDO:0002041,MONDO,False,already_mondo
MONDO:0011988,MONDO:0011988,MONDO,False,already_mondo
EFO:0022326,,EFO,False,unmapped
HP:0012531,,HP,False,skipped_prefix
MONDO:0010444,MONDO:0010444,MONDO,False,already_mondo
EFO:0000551,,EFO,False,unmapped
HP:0001410,,HP,False,skipped_prefix
HP:0032252,,HP,False,skipped_prefix
EFO:1000613,MONDO:0006485,EFO,True,mapped
