id,prefix,previous_name,label,label_source,label_ontology,obsolete_term,matched,current_category,suggested_category
MONDO:0006026,MONDO,EFO:1000018,urinary bladder disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005347,MONDO,EFO:0004211,hypertriglyceridemia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005814,MONDO,EFO:0007330,intestinal cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0001085,MONDO,MONDO:0001085,interstitial nephritis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005037,MONDO,EFO:0000504,gastric intestinal type adenocarcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009724,MONDO,MONDO:0009724,nail-patella-like renal disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010015,MONDO,MONDO:0010015,anterior segment dysgenesis 7,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009061,MONDO,MONDO:0009061,cystic fibrosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016064,MONDO,MONDO:0016064,cleft palate,mondo_release,mondo,,True,biolink:Disease,
MONDO:0957594,MONDO,MONDO:0957594,spermatogenic failure 87,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005311,MONDO,EFO:0003914,atherosclerosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0021156,MONDO,MONDO:0021156,hypophysitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0013588,MONDO,MONDO:0013588,Perrault syndrome 3,mondo_release,mondo,,True,biolink:Disease,
MONDO:0017795,MONDO,MONDO:0017795,ameloblastoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005061,MONDO,EFO:0000571,lung adenocarcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010383,MONDO,MONDO:0010383,fragile X syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005100,MONDO,EFO:0000717,systemic sclerosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0032845,MONDO,MONDO:0032845,spermatogenic failure 39,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006660,MONDO,EFO:1000821,arthus reaction,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008006,MONDO,MONDO:0008006,Mobius syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007803,MONDO,EFO:1001050,multiple system atrophy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005008,MONDO,EFO:0000365,colorectal adenocarcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005615,MONDO,EFO:0006738,plasmacytoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009692,MONDO,EFO:0002430,primary myelofibrosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018510,MONDO,EFO:1001928,small intestine neuroendocrine neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004972,MONDO,EFO:0000232,adenoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0020325,MONDO,EFO:0003032,anaplastic large cell lymphoma,mondo_release,mondo,,True,biolink:Disease,
