curie	label	ontology	obsolete	iri	status
HP:0011451	Primary microcephaly	hp	false	http://purl.obolibrary.org/obo/HP_0011451	ok
HP:0011675	Arrhythmia	hp	false	http://purl.obolibrary.org/obo/HP_0011675	ok
HP:0011947	Respiratory tract infection	hp	false	http://purl.obolibrary.org/obo/HP_0011947	ok
HP:0012115	Hepatitis	hp	false	http://purl.obolibrary.org/obo/HP_0012115	ok
HP:0012207	Reduced sperm motility	hp	false	http://purl.obolibrary.org/obo/HP_0012207	ok
HP:0012393	Allergy	hp	false	http://purl.obolibrary.org/obo/HP_0012393	ok
HP:0012531	Pain	hp	false	http://purl.obolibrary.org/obo/HP_0012531	ok
HP:0012758	Neurodevelopmental delay	hp	false	http://purl.obolibrary.org/obo/HP_0012758	ok
HP:0031678	Atherosclerotic lesion	hp	false	http://purl.obolibrary.org/obo/HP_0031678	ok
HP:0032252	Granuloma	hp	false	http://purl.obolibrary.org/obo/HP_0032252	ok
HP:0040187	Neonatal sepsis	hp	false	http://purl.obolibrary.org/obo/HP_0040187	ok
HP:0040223	Pulmonary hemorrhage	hp	false	http://purl.obolibrary.org/obo/HP_0040223	ok
HP:0040270	Impaired glucose tolerance	hp	false	http://purl.obolibrary.org/obo/HP_0040270	ok
HP:0100526	Neoplasm of the lung	hp	false	http://purl.obolibrary.org/obo/HP_0100526	ok
HP:0100543	Cognitive impairment	hp	false	http://purl.obolibrary.org/obo/HP_0100543	ok
HP:0100582	Nasal polyposis	hp	false	http://purl.obolibrary.org/obo/HP_0100582	ok
HP:0100660	Dyskinesia	hp	false	http://purl.obolibrary.org/obo/HP_0100660	ok
HP:0100806	Sepsis	hp	false	http://purl.obolibrary.org/obo/HP_0100806	ok
MONDO:0700044	obsolete TUBB2A-related tubulinopathy	mondo	true	http://purl.obolibrary.org/obo/MONDO_0700044	ok
MP:0001845	abnormal inflammatory response	mp	false	http://purl.obolibrary.org/obo/MP_0001845	ok
OBA:0003277	platelet volume	oba	false	http://purl.obolibrary.org/obo/OBA_0003277	ok
OBA:0003747	glomerular filtration rate	oba	false	http://purl.obolibrary.org/obo/OBA_0003747	ok
OBA:0004528	fat pad mass	oba	false	http://purl.obolibrary.org/obo/OBA_0004528	ok
OBA:0004561	blood osmolality	oba	false	http://purl.obolibrary.org/obo/OBA_0004561	ok
OBA:1000110	bone tissue density	oba	false	http://purl.obolibrary.org/obo/OBA_1000110	ok
OBA:1000840	alcohol consumption quality	oba	false	http://purl.obolibrary.org/obo/OBA_1000840	ok
OBA:2040561	level of aldehyde dehydrogenase X, mitochondrial in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2040561	ok
OBA:2040646	level of arfaptin-1 in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2040646	ok
OBA:2041267	level of beta-defensin 104 in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2041267	ok
OBA:2041446	level of eukaryotic translation initiation factor 3 subunit B in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2041446	ok
OBA:2041840	level of hemoglobin subunit delta in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2041840	ok
OBA:2042371	level of MIT domain-containing protein 1 in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2042371	ok
OBA:2042538	level of protein NDRG4 in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2042538	ok
OBA:2043190	level of Ran-specific GTPase-activating protein in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2043190	ok
OBA:2044852	level of UPF0235 protein C15orf40 in blood serum	oba	false	http://purl.obolibrary.org/obo/OBA_2044852	ok
OBA:2045206	level of serum globulin type protein	oba	false	http://purl.obolibrary.org/obo/OBA_2045206	ok
OBA:2045223	myeloid leukocyte count	oba	false	http://purl.obolibrary.org/obo/OBA_2045223	ok
OBA:2045560	amount of iron in brain	oba	false	http://purl.obolibrary.org/obo/OBA_2045560	ok
OBA:2050062	serum alanine aminotransferase amount	oba	false	http://purl.obolibrary.org/obo/OBA_2050062	ok
OBA:2050065	serum urea amount	oba	false	http://purl.obolibrary.org/obo/OBA_2050065	ok
OBA:2050068	serum albumin amount	oba	false	http://purl.obolibrary.org/obo/OBA_2050068	ok
OBA:2050096	serum creatinine amount	oba	false	http://purl.obolibrary.org/obo/OBA_2050096	ok
OBA:VT0000047	head circumference	oba	false	http://purl.obolibrary.org/obo/OBA_VT0000047	ok
OBA:VT0000217	leukocyte quantity	oba	false	http://purl.obolibrary.org/obo/OBA_VT0000217	ok
OBA:VT0001253	body height	oba	false	http://purl.obolibrary.org/obo/OBA_VT0001253	ok
OBA:VT0005265	blood urea nitrogen amount	oba	false	http://purl.obolibrary.org/obo/OBA_VT0005265	ok
OBA:VT0005416	blood protein amount	oba	false	http://purl.obolibrary.org/obo/OBA_VT0005416	ok
OBA:VT0010046	fatty acid amount	oba	false	http://purl.obolibrary.org/obo/OBA_VT0010046	ok
OBA:VT0015043	milk amount	oba	false	http://purl.obolibrary.org/obo/OBA_VT0015043	ok
Orphanet:169446	Autosomal recessive hyper-IgE syndrome	efo	false	http://www.orpha.net/ORDO/Orphanet_169446	ok
Orphanet:183539	Genetic renal or urinary tract malformation	ordo	false	http://www.orpha.net/ORDO/Orphanet_183539	ok
